chem_element,covalent_radius,vdW_radius,vdW_radius_Alvarez
H,0.31,1.20,1.20
He,0.28,1.43,1.43
Li,1.28,1.82,2.12
Be,0.96,1.53,1.98
B,0.84,1.92,1.91
C,0.76,1.70,1.77
N,0.71,1.55,1.66
O,0.66,1.52,1.50
F,0.57,1.47,1.46
Ne,0.58,1.54,1.58
Na,1.66,2.27,2.50
Mg,1.41,1.73,2.51
Al,1.21,1.84,2.25
Si,1.11,2.10,2.19
P,1.07,1.80,1.90
S,1.05,1.80,1.89
Cl,1.02,1.75,1.82
Ar,1.06,1.88,1.83
K,2.03,2.75,2.73
Ca,1.76,2.31,2.62
Sc,1.70,NaN,2.58
Ti,1.60,NaN,2.46
V,1.53,NaN,2.42
Cr,1.39,NaN,2.45
Mn,1.39,NaN,2.45
Fe,1.32,NaN,2.44
Co,1.26,NaN,2.40
Ni,1.24,1.63,2.40
Cu,1.32,1.40,2.38
Zn,1.22,1.39,2.39
Ga,1.22,1.87,2.32
Ge,1.20,2.11,2.29
As,1.19,1.85,1.88
Se,1.20,1.90,1.82
Br,1.20,1.85,1.86
Kr,1.16,2.02,2.25
Rb,2.20,3.03,3.21
Sr,1.95,2.49,2.84
Y,1.90,NaN,2.75
Zr,1.75,NaN,2.52
Nb,1.64,NaN,2.56
Mo,1.54,NaN,2.45
Tc,1.47,NaN,2.44
Ru,1.46,NaN,2.46
Rh,1.42,NaN,2.44
Pd,1.39,1.63,2.15
Ag,1.45,1.72,2.53
Cd,1.44,1.58,2.49
In,1.42,1.93,2.43
Sn,1.39,2.17,2.42
Sb,1.39,2.06,2.47
Te,1.38,2.06,1.99
I,1.39,1.98,2.04
Xe,1.40,2.16,2.06
Cs,2.44,3.43,3.48
Ba,2.15,2.49,3.03
La,2.07,NaN,2.98
Ce,2.04,NaN,2.88
Pr,2.03,NaN,2.92
Nd,2.01,NaN,2.95
Pm,1.99,NaN,NaN
Sm,1.98,NaN,2.90
Eu,1.98,NaN,2.87
Gd,1.96,NaN,2.83
Tb,1.94,NaN,2.79
Dy,1.92,NaN,2.87
Ho,1.92,NaN,2.81
Er,1.89,NaN,2.83
Tm,1.90,NaN,2.79
Yb,1.87,NaN,2.80
Lu,1.87,NaN,2.74
Hf,1.75,NaN,2.63
Ta,1.70,NaN,2.53
W,1.62,NaN,2.57
Re,1.51,NaN,2.49
Os,1.44,NaN,2.48
Ir,1.41,NaN,2.41
Pt,1.36,1.75,2.29
Au,1.36,1.66,2.32
Hg,1.32,1.55,2.45
Tl,1.45,1.96,2.47
Pb,1.46,2.02,2.60
Bi,1.48,2.07,2.54
Po,1.40,1.97,NaN
At,1.50,2.02,NaN
Rn,1.50,2.20,NaN
Fr,2.60,3.48,NaN
Ra,2.21,2.83,NaN
Ac,2.15,NaN,2.80
Th,2.06,NaN,2.93
Pa,2.00,NaN,2.88
U,1.96,1.86,2.71
Np,1.90,NaN,2.82
Pu,1.87,NaN,2.81
Am,1.80,NaN,2.83
Cm,1.69,NaN,3.05
Bk,NaN,NaN,3.40
Cf,NaN,NaN,3.05
Es,NaN,NaN,2.70
Fm,NaN,NaN,NaN
Md,NaN,NaN,NaN
No,NaN,NaN,NaN
Lr,NaN,NaN,NaN
